review,rating
Kampus universitas mulawarman,5
"Kampus pertama universitas mulawarman lebih dikenal dengan sebutan ""unmul terbaik",5
"lampu wc mahasiswa mati, kursi di kelas sering kurang, & beberapa dosen susah ditemui.",4
"kursi di kelas sering kurang, & beberapa dosen susah ditemui.",4
"Kampus Pahlawan ini sepertinya hanya untuk jurusan bahasa Inggris ya, bangunannya masih bangunan lama, belum yang baru, jadi kelasnya juga masih kelas yang model lama.

Bahkan gedung pertemuannya nampak kurang terawat",4
"Kampus Pahlawan ini sepertinya hanya untuk jurusan bahasa Inggris ya, bangunannya masih bangunan lama, belum yang baru, jadi kelasnya juga masih kelas yang model lama.

Bahkan gedung pertemuannya nampak kurang terawat, saat itu th 90an, oh.......sedah lama sekali ya. semoga sekarang semua sudah bagus dan cantik.",4
"Kampus pahlawan adalah kampus yang terbaik, karena didepan kampus ini terdapat taman yang dilengkapi wifi.id dimana kita bisa bersantai saat jam istirahat kuliah, disekelilingnya juga terdapat warung maka, Atm, tempat fotokopi, dan sejenisnya.. Dilengkapi asrama mahasiswa dan juga ada banyak kost-kostan disekitarnya",5
Kuliah di Unmul sekarang banyak diajar oleh Dosen sesuai bidang ilmu dan banyak peluang untuk joint dengan lembaga kemahasiswaan sesuai minat serta bakat,5
Kuliah di Unmul sekarang banyak diajar oleh Dosen sesuai bidangnya,5
Kampus negeri favorid untuk anak anak menuntut ilmu dan mencetak generasi penerus bangsa yg cerdas,5
Kampus negeri favorid,5
fasilitasnya agak kurang,4
Kampus yg nyaman namun fasilitasnya agak kurang,4
Kampus terbaik sepanjang masa,5
Kampus terbaik sepanjang masa bung,5
Kampus gw ni bous,5
Kampus gw ni bos,5
Universitas kebanggaan kota samarinda,5
Universitas kebanggaan,5
Recommended bangetttt,5
Recommended banget,5
Kampus yang tertua ya Unmul,4
Kampus Unmul,4
Minggu bahasa Inggris ke-5,5
Minggu bahasa Inggris ke-5,5
bagus tapi tidak terlalu bagus,3
tidak terlalu bagus,2
Bagus,5
Bagussss,5
untuk anak anak menuntut ilmu dan mencetak generasi penerus bangsa yg cerdas,5
ilmu dan banyak peluang untuk joint dengan lembaga kemahasiswaan serta bakat,4
kursi di kelas masih kurang,3
