review,rating
"Kampus 2 universitas mulawarman lebih dikenal dengan sebutan ""unmul pahlawan"" Karena letaknya yang berdekatan dengan taman makam pahlawan. Kampus ini merupakan bangunan lama terdiri atas 3 prodi yang mengadakan kegiatan belajar mengajar di …",5 bintang
"lampu wc mahasiswa mati, kursi di kelas sering kurang, & beberapa dosen susah ditemui.",4 bintang
"Kampus Pahlawan ini sepertinya hanya untuk jurusan bahasa Inggris ya, bangunannya masih bangunan lama, belum yang baru, jadi kelasnya juga masih kelas yang model lama. …",4 bintang
"Kampus pahlawan adalah kampus yang terbaik, karena didepan kampus ini terdapat taman yang dilengkapi wifi.id dimana kita bisa bersantai saat jam istirahat kuliah, disekelilingnya juga terdapat warung maka, Atm, tempat fotokopi, dan sejenisnya.. Dilengkapi asrama mahasiswa dan juga ada banyak kost-kostan disekitarnya",5 bintang
Kuliah di Unmul sekarang banyak diajar oleh Dosen sesuai bidang ilmu dan banyak peluang untuk joint dengan lembaga kemahasiswaan sesuai minat serta bakat,5 bintang
Kampus negeri favorid untuk anak anak menuntut ilmu,5 bintang
Kampus negeri Favoritt aku untuk anak anak menuntut ilmu dan mencetak generasi penerus bangsa yg cerdas,5 bintang
Kampus yg nyaman namun fasilitasnya agak kurang,4 bintang
Nyaman namun fasilitasnya agak Belum bisa memadai,4 bintang
Kampus terbaik sepanjang masa bung,5 bintang
Kampus gw udah tenang asri juga,5 bintang
Kampus gw ni wlau bukan pusat,5 bintang
Universitas kebanggaan kota samarinda,5 bintang
Recommended banget,5 bintang
Recommended banget buat klen buhannya,5 bintang
Kampus II Unmul,4 bintang
Minggu bahasa Inggris ke-5,5 bintang
bagus tapi tidak terlalu bagus,3 bintang
Bagus,5 bintang
Sempat bingung ada kost yg ngaku dekat FKIP ternyata FKIP banggeris beda sama yg di Pramuka. Hehe,5 bintang
"Seperti kampus kebanyakan,teduh banyak pohon besar serta lingkungan diluar kampusnya mendukung karena dekat pemukiman jadi bagi mahasiswa jika ingin jajan gak perlu jauh2 karena disekitar kampus banyak toko dan warung2 makan",5 bintang
"Kampus pendidikan keguruan Universitas Mulawarman, merupakan kampus yg dilengkapi sarana pendidikan dan sarana ibadah yg bagus dan nyaman, dengan lingkungan yg cukup asri, baik sekali untuk kegiatan belajar san mengajar.",4 bintang
Kebersihan kampus sangat bersih dan tempat parkir yang luas namun wilayah parkir daerah belakang rawan hilang helm,4 bintang
Universitas Negeri terbesar di Kalimantan. Tempat menempuh pendidikan tinggi yang nyaman dan asri.,5 bintang
Kampus saya tempat menimba ilmu. Mencetak calon guru yang berkualitas,5 bintang
"Tempat berkuliah untuk menjadi pendidik bangsa, mencetak banyak pendidikan yang beemutu.",5 bintang
"Di sekitar kampus banyak sekali warung makan, harganya lebih murah.",5 bintang
"Yang tau kost putri harga terjangkau, tlong infonya slurr",3 bintang
Tempat Pendidikan yang lumayan baik,3 bintang
Keren Unmul banggeris,5 bintang
Kampus FKIP Unmul dalam pengembangan,5 bintang
Subhanallah..Mesjidnya bagus,5 bintang
Kampus FKIP UNMUL ada disini,5 bintang
Kampus S1 tercinta 😇 …,5 bintang
👍👍 …,5 bintang
Kampus paling megah di Samarinda 😂😂 …,5 bintang
Unmul banggeris kemajuan pesat...,5 bintang
👍👍👍 …,5 bintang
Layaknya rumah,5 bintang
